id,name,sort_no,discriminator_type
"748","SZ","111","countryisocode"
"690","SC","112","countryisocode"
"226","GQ","113","countryisocode"
"686","SN","114","countryisocode"
"688","RS","115","countryisocode"
"659","KN","116","countryisocode"
"670","VC","117","countryisocode"
"426","LS","118","countryisocode"
"654","SH","119","countryisocode"
"662","LC","120","countryisocode"
"706","SO","121","countryisocode"
"90","SB","122","countryisocode"
"796","TC","123","countryisocode"
"764","TH","124","countryisocode"
"410","KR","125","countryisocode"
"158","TW","126","countryisocode"
"762","TJ","127","countryisocode"
"834","TZ","128","countryisocode"
"203","CZ","129","countryisocode"
"148","TD","130","countryisocode"
"140","CF","131","countryisocode"
"156","CN","132","countryisocode"
"788","TN","133","countryisocode"
"408","KP","134","countryisocode"
"152","CL","135","countryisocode"
"798","TV","136","countryisocode"
"208","DK","137","countryisocode"
"276","DE","138","countryisocode"
"768","TG","139","countryisocode"
"772","TK","140","countryisocode"
"214","DO","141","countryisocode"
"212","DM","142","countryisocode"
"780","TT","143","countryisocode"
"795","TM","144","countryisocode"
"792","TR","145","countryisocode"
"776","TO","146","countryisocode"
"566","NG","147","countryisocode"
"520","NR","148","countryisocode"
"516","NA","149","countryisocode"
"10","AQ","150","countryisocode"
"570","NU","151","countryisocode"
"558","NI","152","countryisocode"
"562","NE","153","countryisocode"
"392","JP","154","countryisocode"
"732","EH","155","countryisocode"
"540","NC","156","countryisocode"
"554","NZ","157","countryisocode"
"524","NP","158","countryisocode"
"574","NF","159","countryisocode"
"578","NO","160","countryisocode"
"334","HM","161","countryisocode"
"48","BH","162","countryisocode"
"332","HT","163","countryisocode"
"586","PK","164","countryisocode"
"336","VA","165","countryisocode"
"591","PA","166","countryisocode"
"548","VU","167","countryisocode"
"44","BS","168","countryisocode"
"598","PG","169","countryisocode"
"60","BM","170","countryisocode"
"585","PW","171","countryisocode"
"600","PY","172","countryisocode"
"52","BB","173","countryisocode"
"275","PS","174","countryisocode"
"348","HU","175","countryisocode"
"50","BD","176","countryisocode"
"626","TL","177","countryisocode"
"612","PN","178","countryisocode"
"242","FJ","179","countryisocode"
"608","PH","180","countryisocode"
"246","FI","181","countryisocode"
"64","BT","182","countryisocode"
"74","BV","183","countryisocode"
"630","PR","184","countryisocode"
"234","FO","185","countryisocode"
"238","FK","186","countryisocode"
"76","BR","187","countryisocode"
"250","FR","188","countryisocode"
"254","GF","189","countryisocode"
"258","PF","190","countryisocode"
"260","TF","191","countryisocode"
"100","BG","192","countryisocode"
"854","BF","193","countryisocode"
"96","BN","194","countryisocode"
"108","BI","195","countryisocode"
"704","VN","196","countryisocode"
"204","BJ","197","countryisocode"
"862","VE","198","countryisocode"
"112","BY","199","countryisocode"
"84","BZ","200","countryisocode"
"604","PE","201","countryisocode"
"56","BE","202","countryisocode"
"616","PL","203","countryisocode"
"70","BA","204","countryisocode"
"72","BW","205","countryisocode"
"535","BQ","206","countryisocode"
"68","BO","207","countryisocode"
"620","PT","208","countryisocode"
"344","HK","209","countryisocode"
"340","HN","210","countryisocode"
"584","MH","211","countryisocode"
"446","MO","212","countryisocode"
"807","MK","213","countryisocode"
"450","MG","214","countryisocode"
"175","YT","215","countryisocode"
"454","MW","216","countryisocode"
"466","ML","217","countryisocode"
"470","MT","218","countryisocode"
"474","MQ","219","countryisocode"
"458","MY","220","countryisocode"
"833","IM","221","countryisocode"
"583","FM","222","countryisocode"
"710","ZA","223","countryisocode"
"728","SS","224","countryisocode"
"104","MM","225","countryisocode"
"484","MX","226","countryisocode"
"480","MU","227","countryisocode"
"478","MR","228","countryisocode"
"508","MZ","229","countryisocode"
"492","MC","230","countryisocode"
"462","MV","231","countryisocode"
"498","MD","232","countryisocode"
"504","MA","233","countryisocode"
"496","MN","234","countryisocode"
"499","ME","235","countryisocode"
"500","MS","236","countryisocode"
"400","JO","237","countryisocode"
"418","LA","238","countryisocode"
"428","LV","239","countryisocode"
"440","LT","240","countryisocode"
"434","LY","241","countryisocode"
"438","LI","242","countryisocode"
"430","LR","243","countryisocode"
"642","RO","244","countryisocode"
"442","LU","245","countryisocode"
"646","RW","246","countryisocode"
"422","LB","247","countryisocode"
"638","RE","248","countryisocode"
"643","RU","249","countryisocode"
