id,name,sort_no,discriminator_type
558,Nicaragua,151,country
562,Niger,152,country
392,Japan,153,country
732,Western Sahara,154,country
540,New Caledonia,155,country
554,New Zealand,156,country
524,Nepal,157,country
574,Norfolk Island,158,country
578,Norway,159,country
334,Heard Island and Mcdonald Islands,160,country
48,Bahrain,161,country
332,Haiti,162,country
586,Pakistan,163,country
336,Vatican City | Vatican City State,164,country
591,Panama,165,country
548,Vanuatu,166,country
44,The Bahamas,167,country
598,Papua New Guinea,168,country
60,Bermuda Islands | Bermuda,169,country
585,Palau,170,country
600,Paraguay,171,country
52,Barbados,172,country
275,Palestine,173,country
348,Hungary,174,country
50,Bangladesh,175,country
626,East Timor,176,country
612,Pitcairn Islands | Pitcairn,177,country
242,Fiji,178,country
608,Philippines,179,country
246,Finland,180,country
64,Bhutan,181,country
74,Bouvet Island,182,country
630,Puerto Rico,183,country
234,Faroe Islands,184,country
238,Falkland Islands | Falkland (Malvinas) Islands,185,country
76,Brazil,186,country
250,France,187,country
254,French Guiana,188,country
258,French Polynesia,189,country
260,French Southern and Antarctic Region,190,country
100,Bulgaria,191,country
854,Burkina Faso,192,country
96,Brunei | Brunei Darussalam,193,country
108,Burundi,194,country
704,Vietnam,195,country
204,Benin,196,country
862,Venezuela | Venezuela / Bolivar Republic,197,country
112,Belarus,198,country
84,Belize,199,country
604,Peru,200,country
56,Belgium,201,country
616,Poland,202,country
70,Bosnia-Herzegovina,203,country
72,Botswana,204,country
535,"BES Islands | Bonaire, Sint-Eustatius and Mackerel",205,country
68,Bolivia | Bolivia Multi Ethnic Countries,206,country
620,Portugal,207,country
344,Hong Kong,208,country
340,Honduras,209,country
584,Marshall Islands,210,country
446,Macau,211,country
807,Macedonia Republic | Macedonia Former Yugoslav Republic,212,country
450,Madagascar,213,country
175,Mayotte,214,country
454,Malawi,215,country
466,Mali Republic | Mali,216,country
470,Malta,217,country
474,Martinique,218,country
458,Malaysia,219,country
833,Isle of Man,220,country
583,Federated States of Micronesia,221,country
710,South Africa Republic | South Africa,222,country
728,South Sudan,223,country
104,Myanmar,224,country
484,Mexico,225,country
480,Mauritius,226,country
478,Mauritania,227,country
508,Mozambique,228,country
492,Monaco,229,country
462,Maldives,230,country
498,Moldova | Moldova Republic,231,country
504,Morocco,232,country
496,Mongolia country | Mongolia,233,country
499,Montenegro,234,country
500,Montserrat,235,country
400,Jordan,236,country
418,Laos | Lao People's Democratic Republic,237,country
428,Latvia,238,country
440,Lithuania,239,country
434,Libya,240,country
438,Liechtenstein,241,country
430,Liberia,242,country
642,Romania,243,country
442,Luxembourg,244,country
646,Rwanda,245,country
422,Lebanon,247,country
638,Reunion,248,country
643,Russia | Russian Federation,249,country
